idrssd,username,url,financial report,financial report link,2022 annual report included,2022 annual report link,report_candidate_url,report_candidate_score,report_diagnostic,error_reason,other_report_years,processed_flag
37640,_GermanAmerican,www.germanamerican.com,YES,https://ir.germanamerican.com/financials/annual-reports/default.aspx,UNKNOWN,,https://ir.germanamerican.com/financials/annual-reports/default.aspx,,entry_from_analyze_bank,no_pdf_found,,DONE
6039,PinelandBank,https://pineland.bank/,NO,,UNKNOWN,,,,entry_from_analyze_bank,homepage_error,,DONE
10250,TheBankofER,https://www.thebankofelkriver.com/,NO,,UNKNOWN,,,,entry_from_analyze_bank,homepage_error,,DONE
12311,Huntington_Bank,https://www.huntington.com/,YES,https://ir.huntington.com/financial-information/annual-reports,UNKNOWN,,https://ir.huntington.com/financial-information/annual-reports,,entry_from_analyze_bank,no_pdf_found,,DONE
12946,MyFBTBank,https://www.myfarmers.bank/,NO,,UNKNOWN,,,,entry_from_analyze_bank,homepage_error,,DONE
39756,NBCOklahoma,https://www.nbc.bank/,NO,,UNKNOWN,,,,entry_from_analyze_bank,no_financial_page,,DONE
14155,FANDCBANKMO,https://www.fandcbank.com/,NO,,UNKNOWN,,,,entry_from_analyze_bank,homepage_error,,DONE
17147,FirstMerchants,https://www.firstmerchants.com/,NO,,UNKNOWN,,,,entry_from_analyze_bank,homepage_error,,DONE
18050,FNBBastrop,https://www.fnbbastrop.bank/,NO,,UNKNOWN,,,,entry_from_analyze_bank,homepage_error,,DONE
22552,firstsebank,https://www.firstsoutheastbank.com/,NO,,UNKNOWN,,,,entry_from_analyze_bank,homepage_error,,DONE
23456,FNBHenning,https://www.fnbhenning.com/,NO,,UNKNOWN,,,,entry_from_analyze_bank,no_financial_page,,DONE
24006,MyPCSB,https://www.pcsb.com/,YES,https://www.beaconfinancialcorporation.com/financials/annual-reports-and-proxy/default.aspx,UNKNOWN,,https://www.beaconfinancialcorporation.com/financials/annual-reports-and-proxy/default.aspx,,entry_from_analyze_bank,no_pdf_found,,DONE
26765,Vantage_Bank,https://www.vantage.bank/,NO,,UNKNOWN,,,,entry_from_analyze_bank,homepage_error,,DONE
27847,diamondbankusa,https://www.diamond.bank/,NO,,UNKNOWN,,,,entry_from_analyze_bank,homepage_error,,DONE
29636,TCBPhila,https://www.thecitizensbankphila.com/,NO,,UNKNOWN,,,,entry_from_analyze_bank,no_financial_page,,DONE
40499,HarborOne,https://www.harborone.com/home,YES,https://investor.easternbank.com/financials/annual-reports/default.aspx,UNKNOWN,,https://investor.easternbank.com/financials/annual-reports/default.aspx,,entry_from_analyze_bank,no_pdf_found,,DONE
31835,BAnguilla,https://www.bankofanguilla.com/,NO,,UNKNOWN,,,,entry_from_analyze_bank,no_financial_page,,DONE
32234,firstnbtc,www.firstnbtc.com,NO,,UNKNOWN,,,,entry_from_analyze_bank,homepage_error,,DONE
33147,Farmers_Bank,https://www.fbtbly.com/,NO,,UNKNOWN,,,,entry_from_analyze_bank,homepage_error,,DONE
60143,ComericaBank,https://www.comerica.com/,NO,,UNKNOWN,,,,entry_from_analyze_bank,no_pdf_found,,DONE
34537,SeacoastBankCom,https://www.seacoastbank.com/,NO,,UNKNOWN,,,,entry_from_analyze_bank,no_financial_page,,DONE
74140,isabellabank,https://www.isabellabank.com/,NO,,UNKNOWN,,,,entry_from_analyze_bank,no_financial_page,,DONE
83638,AmerantBank,https://www.amerantbank.com/,YES,https://investor.amerantbank.com/sec-filings/annual-reports,UNKNOWN,,https://investor.amerantbank.com/sec-filings/annual-reports,,entry_from_analyze_bank,no_pdf_found,,DONE
85472,oceanfirstbank,https://www.oceanfirst.com/,NO,,UNKNOWN,,,,entry_from_analyze_bank,no_financial_page,,DONE
90328,AlwaysOurBest,https://www.skylinenationalbank.bank/,YES,https://www.skylinenationalbank.bank/,UNKNOWN,,https://www.skylinenationalbank.bank/,,entry_from_analyze_bank,no_pdf_found,,DONE
41825,MVBank,www.mvbbank.com,NO,,UNKNOWN,,,,entry_from_analyze_bank,no_financial_page,,DONE
