idrssd,username,url,financial report,financial report link,2022 annual report included,2022 annual report link,report_candidate_url,report_candidate_score,report_diagnostic,error_reason,other_report_years,processed_flag
37640,_GermanAmerican,www.germanamerican.com,YES,https://ir.germanamerican.com/financials/annual-reports/default.aspx,UNKNOWN,,https://ir.germanamerican.com/financials/annual-reports/default.aspx,,entry_from_analyze_bank,no_pdf_found,,DONE
12311,Huntington_Bank,https://www.huntington.com/,YES,https://ir.huntington.com/financial-information/annual-reports,UNKNOWN,,https://ir.huntington.com/financial-information/annual-reports,,entry_from_analyze_bank,no_pdf_found,,DONE
24006,MyPCSB,https://www.pcsb.com/,YES,https://www.beaconfinancialcorporation.com/financials/annual-reports-and-proxy/default.aspx,UNKNOWN,,https://www.beaconfinancialcorporation.com/financials/annual-reports-and-proxy/default.aspx,,entry_from_analyze_bank,no_pdf_found,,DONE
40499,HarborOne,https://www.harborone.com/home,YES,https://investor.easternbank.com/financials/annual-reports/default.aspx,UNKNOWN,,https://investor.easternbank.com/financials/annual-reports/default.aspx,,entry_from_analyze_bank,no_pdf_found,,DONE
83638,AmerantBank,https://www.amerantbank.com/,YES,https://investor.amerantbank.com/sec-filings/annual-reports,UNKNOWN,,https://investor.amerantbank.com/sec-filings/annual-reports,,entry_from_analyze_bank,no_pdf_found,,DONE
90328,AlwaysOurBest,https://www.skylinenationalbank.bank/,YES,https://www.skylinenationalbank.bank/,UNKNOWN,,https://www.skylinenationalbank.bank/,,entry_from_analyze_bank,no_pdf_found,,DONE
112837,CapitalOne,https://www.capitalone.com/,YES,https://investor.capitalone.com/financial-results/annual-reports,UNKNOWN,,,,entry_from_analyze_bank,,,DONE
189129,CSBBank,https://www.csb1.com/,YES,https://ir.csb1.com/financials/annual-reports/default.aspx,UNKNOWN,,https://ir.csb1.com/financials/annual-reports/default.aspx,,entry_from_analyze_bank,no_pdf_found,,DONE
212577,HomeTrust_Bank,www.htb.com,YES,https://ir.htb.com/financial-information/quarterly-results,UNKNOWN,,,,entry_from_analyze_bank,,,DONE
214414,FMStBank,https://www.fm.bank/,YES,https://www.fm.bank/financial-information/annual-reports,UNKNOWN,,https://www.fm.bank/financial-information/annual-reports,,entry_from_analyze_bank,no_pdf_found,,DONE
214807,DeutscheBank,https://www.db.com/,YES,https://investor-relations.db.com/reports-and-events/annual-reports,UNKNOWN,,https://investor-relations.db.com/reports-and-events/annual-reports,,entry_from_analyze_bank,no_pdf_found,,DONE
112163,gntybank,https://www.gnty.com/,YES,https://www.gnty.com/investors/,UNKNOWN,,https://www.gnty.com/investors/,,entry_from_analyze_bank,no_pdf_found,,DONE
278872,EagleBankCorp,https://www.eaglebankcorp.com/,YES,https://ir.eaglebankcorp.com/financials/annual-reports/default.aspx,UNKNOWN,,https://ir.eaglebankcorp.com/financials/annual-reports/default.aspx,,entry_from_analyze_bank,no_pdf_found,,DONE
294564,FirstBank_Trust,https://www.firstbanktexas.com/,YES,https://investorrelations.umb.com/financials/annual-reports/default.aspx,UNKNOWN,,,,entry_from_analyze_bank,,,DONE
317342,sybsince1904,www.syb.com,YES,https://stockyardsbancorp.q4ir.com/financial-information/annual-meeting-materials/default.aspx,UNKNOWN,,,,entry_from_analyze_bank,,,DONE
128904,easternbank,https://www.easternbank.com/,YES,https://investor.easternbank.com/financials/annual-reports/default.aspx,UNKNOWN,,https://investor.easternbank.com/financials/annual-reports/default.aspx,,entry_from_analyze_bank,no_pdf_found,,DONE
130541,HorizonBank,www.horizonbank.com,YES,https://www.horizonbank.com/about-us/newsroom/investor-relations,UNKNOWN,,https://www.horizonbank.com/about-us/newsroom/investor-relations,,entry_from_analyze_bank,no_pdf_found,,DONE
425911,EphrataNational,https://www.epnb.com/,YES,https://enbfinancial.q4ir.com,UNKNOWN,,https://enbfinancial.q4ir.com,,entry_from_analyze_bank,no_pdf_found,,DONE
