bank,year,metric_name,val,unit,source_chunk_id,bucket
1stSourceBank_991340,2024,NII,"$ 20,393",thousand,k=1stSourceBank_991340|stem=c9dcb045-d5d8-481a-879f-524e37608ef2pdf|chunk=124,ok
1stSourceBank_991340,2024,NIM,3.50,%,[k=1stSourceBank_991340|stem=c9dcb045-d5d8-481a-879f-524e37608ef2pdf|chunk=122],ok
1stSourceBank_991340,2024,Provision for Credit Losses,"12,466",thousand,[k=1stSourceBank_991340|stem=c9dcb045-d5d8-481a-879f-524e37608ef2pdf|chunk=203],ok
1stSourceBank_991340,2024,ROA,1.52,%,[k=1stSourceBank_991340|stem=c9dcb045-d5d8-481a-879f-524e37608ef2pdf|chunk=23],ok
1stSourceBank_991340,2024,ROE,12.54,%,[k=1stSourceBank_991340|stem=c9dcb045-d5d8-481a-879f-524e37608ef2pdf|chunk=23],ok
Ally_3284070,2024,NII,(27),dollars,k=Ally_3284070|stem=2024-10kpdf|chunk=340,ok
Ally_3284070,2024,NIM,3.27,%,[k=Ally_3284070|stem=2024-10kpdf|chunk=498],ok
Ally_3284070,2024,Provision for Credit Losses,287,million,[k=Ally_3284070|stem=2024-10kpdf|chunk=282],ok
Ally_3284070,2024,ROA,0.35,%,[k=Ally_3284070|stem=2024-10kpdf|chunk=269],ok
Ally_3284070,2024,ROE,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
AlwaysOurBest_90328,2024,NII,"$ 3,872",thousand,k=AlwaysOurBest_90328|stem=642a04d1-43da-4ae1-8ef0-fa96978881aapdf|chunk=110,ok
AlwaysOurBest_90328,2024,NIM,3.82,%,[k=AlwaysOurBest_90328|stem=ARS-Skyline-Bankshares-2024-Annual-Reportpdf|chunk=153],ok
AlwaysOurBest_90328,2024,Provision for Credit Losses,1.1,million,[k=AlwaysOurBest_90328|stem=642a04d1-43da-4ae1-8ef0-fa96978881aapdf|chunk=106],ok
AlwaysOurBest_90328,2024,ROA,NOT FOUND,NOT FOUND,NOT FOUND,value_missing
AlwaysOurBest_90328,2024,ROE,8.69,%,table:b0009,table_prefill
AmerantBank_83638,2024,NII,"(1,137)",thousand,k=AmerantBank_83638|stem=d920016darspdf|chunk=248,ok
AmerantBank_83638,2024,NIM,3.58,%,[k=AmerantBank_83638|stem=d920016darspdf|chunk=221],ok
AmerantBank_83638,2024,Provision for Credit Losses,"60,460",thousand,[k=AmerantBank_83638|stem=d920016darspdf|chunk=430],ok
AmerantBank_83638,2024,ROA,0.16,%,[k=AmerantBank_83638|stem=d920016darspdf|chunk=236],ok
AmerantBank_83638,2024,ROE,1.99,%,[k=AmerantBank_83638|stem=d920016darspdf|chunk=236],ok
CPBHawaii_701062,2024,NII,"$ 211,733",thousand,k=CPBHawaii_701062|stem=CPF-12-31-24-10-K-FINALpdf|chunk=294,ok
CPBHawaii_701062,2024,NIM,4.9,%,[k=CPBHawaii_701062|stem=CPF-12-31-24-10-K-FINALpdf|chunk=170],ok
CPBHawaii_701062,2024,Provision for Credit Losses,9.8,million,[k=CPBHawaii_701062|stem=CPF-12-31-24-10-K-FINALpdf|chunk=83],ok
CPBHawaii_701062,2024,ROA,0.78,%,[k=CPBHawaii_701062|stem=CPF-12-31-24-10-K-FINALpdf|chunk=153],ok
CPBHawaii_701062,2024,ROE,0.72,%,[k=CPBHawaii_701062|stem=CPF-12-31-24-10-K-FINALpdf|chunk=153],ok
CSBBank_189129,2024,NII,"36,853",thousand,k=CSBBank_189129|stem=CSB_2024_AnnualReport_Final_3-5-25_Proofpdf|chunk=20,ok
CSBBank_189129,2024,NIM,5.19,%,[k=CSBBank_189129|stem=CSB_2024_AnnualReport_Final_3-5-25_Proofpdf|chunk=21],ok
CSBBank_189129,2024,Provision for Credit Losses,1.1,million,[k=CSBBank_189129|stem=CSB_2024_AnnualReport_Final_3-5-25_Proofpdf|chunk=20],ok
CSBBank_189129,2024,ROA,0.85,%,[k=CSBBank_189129|stem=CSB_2024_AnnualReport_Final_3-5-25_Proofpdf|chunk=20],ok
CSBBank_189129,2024,ROE,8.96,%,[k=CSBBank_189129|stem=CSB_2024_AnnualReport_Final_3-5-25_Proofpdf|chunk=20],ok
CommerceBank_601050,2024,NII,"$ 45,035",million,k=CommerceBank_601050|stem=2024-Commerce-Bank-Annual-Report-10kpdf|chunk=139,ok
CommerceBank_601050,2024,NIM,3.47,%,[k=CommerceBank_601050|stem=2024-Commerce-Bank-Annual-Report-10kpdf|chunk=118],ok
CommerceBank_601050,2024,Provision for Credit Losses,"32,903",thousand,[k=CommerceBank_601050|stem=2024-Commerce-Bank-Annual-Report-10kpdf|chunk=273],ok
CommerceBank_601050,2024,ROA,1.72,%,[k=CommerceBank_601050|stem=2024-Commerce-Bank-Annual-Report-10kpdf|chunk=121],ok
CommerceBank_601050,2024,ROE,16.66,%,[k=CommerceBank_601050|stem=2024-Commerce-Bank-Annual-Report-10kpdf|chunk=116],ok
DeutscheBank_214807,2024,NII,"13,602",million,k=DeutscheBank_214807|stem=Annual-Report-2023pdf|chunk=107,ok
DeutscheBank_214807,2024,NIM,1.40,%,[k=DeutscheBank_214807|stem=Annual-Report-2023pdf|chunk=104],ok
