bank,year,metric_name,val,unit,source_chunk_id
GermanAmerican_37640,2024,ROA,1.34,%,COMPUTED_FROM [k=_GermanAmerican_37640|stem=2025-SAR-Annual-Reportpdf|chunk=12] (Net Income / Avg Assets)
GermanAmerican_37640,2024,ROE,12.22,%,COMPUTED_FROM [k=_GermanAmerican_37640|stem=2025-SAR-Annual-Reportpdf|chunk=12] (Net Income / Avg Equity)
GermanAmerican_37640,2024,NIM,NOT FOUND,NOT FOUND,NOT FOUND
GermanAmerican_37640,2024,NII,"190,591",thousand,k=_GermanAmerican_37640|stem=2025-SAR-Annual-Reportpdf|chunk=12
GermanAmerican_37640,2024,Provision for Credit Losses,"2,775",thousand,[k=_GermanAmerican_37640|stem=2025-SAR-Annual-Reportpdf|chunk=12]
1stSourceBank_991340,2024,ROA,1.52,%,[k=1stSourceBank_991340|stem=c9dcb045-d5d8-481a-879f-524e37608ef2pdf|chunk=23]
1stSourceBank_991340,2024,ROE,12.54,%,[k=1stSourceBank_991340|stem=c9dcb045-d5d8-481a-879f-524e37608ef2pdf|chunk=23]
1stSourceBank_991340,2024,NIM,6.36,%,[k=1stSourceBank_991340|stem=c9dcb045-d5d8-481a-879f-524e37608ef2pdf|chunk=122]
1stSourceBank_991340,2024,NII,"$ 20,393",thousand,k=1stSourceBank_991340|stem=c9dcb045-d5d8-481a-879f-524e37608ef2pdf|chunk=221
1stSourceBank_991340,2024,Provision for Credit Losses,"12,466",thousand,[k=1stSourceBank_991340|stem=c9dcb045-d5d8-481a-879f-524e37608ef2pdf|chunk=203]
Ally_3284070,2024,ROA,0.35,%,[k=Ally_3284070|stem=2024-10kpdf|chunk=269]
Ally_3284070,2024,ROE,4.81,millions,table:b0022
Ally_3284070,2024,NIM,3.27,%,[k=Ally_3284070|stem=2024-10kpdf|chunk=498]
Ally_3284070,2024,NII,(27),dollars,k=Ally_3284070|stem=2024-10kpdf|chunk=340
Ally_3284070,2024,Provision for Credit Losses,287,million,[k=Ally_3284070|stem=2024-10kpdf|chunk=282]
AlwaysOurBest_90328,2024,ROA,0.67,%,[k=AlwaysOurBest_90328|stem=ARS-Skyline-Bankshares-2024-Annual-Reportpdf|chunk=193]
AlwaysOurBest_90328,2024,ROE,8.69,%,[k=AlwaysOurBest_90328|stem=ARS-Skyline-Bankshares-2024-Annual-Reportpdf|chunk=193]
AlwaysOurBest_90328,2024,NIM,3.82,%,[k=AlwaysOurBest_90328|stem=ARS-Skyline-Bankshares-2024-Annual-Reportpdf|chunk=153]
AlwaysOurBest_90328,2024,NII,$3.9,NOT FOUND,k=AlwaysOurBest_90328|stem=642a04d1-43da-4ae1-8ef0-fa96978881aapdf|chunk=180
AlwaysOurBest_90328,2024,Provision for Credit Losses,1.1,million,[k=AlwaysOurBest_90328|stem=642a04d1-43da-4ae1-8ef0-fa96978881aapdf|chunk=106]
AmerantBank_83638,2024,ROA,0.16,%,[k=AmerantBank_83638|stem=d920016darspdf|chunk=236]
AmerantBank_83638,2024,ROE,0.16,%,[k=AmerantBank_83638|stem=d920016darspdf|chunk=236]
AmerantBank_83638,2024,NIM,3.58,%,[k=AmerantBank_83638|stem=d920016darspdf|chunk=221]
AmerantBank_83638,2024,NII,"(1,137)",thousand,k=AmerantBank_83638|stem=d920016darspdf|chunk=248
AmerantBank_83638,2024,Provision for Credit Losses,"60,460",thousand,[k=AmerantBank_83638|stem=d920016darspdf|chunk=430]
CommerceBank_601050,2024,ROA,1.72,%,[k=CommerceBank_601050|stem=2024-Commerce-Bank-Annual-Report-10kpdf|chunk=121]
CommerceBank_601050,2024,ROE,16.66,%,[k=CommerceBank_601050|stem=2024-Commerce-Bank-Annual-Report-10kpdf|chunk=116]
CommerceBank_601050,2024,NIM,3.47,%,[k=CommerceBank_601050|stem=2024-Commerce-Bank-Annual-Report-10kpdf|chunk=118]
CommerceBank_601050,2024,NII,"$ 45,035",million,k=CommerceBank_601050|stem=2024-Commerce-Bank-Annual-Report-10kpdf|chunk=139
CommerceBank_601050,2024,Provision for Credit Losses,"32,903",thousand,[k=CommerceBank_601050|stem=2024-Commerce-Bank-Annual-Report-10kpdf|chunk=273]
CPBHawaii_701062,2024,ROA,0.78,%,[k=CPBHawaii_701062|stem=CPF-12-31-24-10-K-FINALpdf|chunk=153]
CPBHawaii_701062,2024,ROE,0.78,%,[k=CPBHawaii_701062|stem=CPF-12-31-24-10-K-FINALpdf|chunk=153]
CPBHawaii_701062,2024,NIM,4.9,%,[k=CPBHawaii_701062|stem=CPF-12-31-24-10-K-FINALpdf|chunk=170]
CPBHawaii_701062,2024,NII,"(1,460)",dollars,k=CPBHawaii_701062|stem=CPF-12-31-24-10-K-FINALpdf|chunk=263
CPBHawaii_701062,2024,Provision for Credit Losses,9.8,million,[k=CPBHawaii_701062|stem=CPF-12-31-24-10-K-FINALpdf|chunk=83]
CSBBank_189129,2024,ROA,0.85,%,[k=CSBBank_189129|stem=CSB_2024_AnnualReport_Final_3-5-25_Proofpdf|chunk=20]
CSBBank_189129,2024,ROE,8.96,%,[k=CSBBank_189129|stem=CSB_2024_AnnualReport_Final_3-5-25_Proofpdf|chunk=20]
CSBBank_189129,2024,NIM,5.19,%,[k=CSBBank_189129|stem=CSB_2024_AnnualReport_Final_3-5-25_Proofpdf|chunk=21]
CSBBank_189129,2024,NII,"36,853",thousand,k=CSBBank_189129|stem=CSB_2024_AnnualReport_Final_3-5-25_Proofpdf|chunk=20
CSBBank_189129,2024,Provision for Credit Losses,1.1,million,[k=CSBBank_189129|stem=CSB_2024_AnnualReport_Final_3-5-25_Proofpdf|chunk=20]
DeutscheBank_214807,2024,ROA,0.35,%,[k=DeutscheBank_214807|stem=Annual-Report-2023pdf|chunk=728]
DeutscheBank_214807,2024,ROE,15.2,%,[k=DeutscheBank_214807|stem=Annual-Report-2023pdf|chunk=946]
DeutscheBank_214807,2024,NIM,1.40,%,[k=DeutscheBank_214807|stem=Annual-Report-2023pdf|chunk=104]
DeutscheBank_214807,2024,NII,"13,602",million,k=DeutscheBank_214807|stem=Annual-Report-2023pdf|chunk=107
DeutscheBank_214807,2024,Provision for Credit Losses,1.5,million,[k=DeutscheBank_214807|stem=Annual-Report-2023pdf|chunk=102]
EagleBankCorp_278872,2024,ROA,NOT FOUND,NOT FOUND,NOT FOUND
